year,month,index_month,index_year
1980,1,3.2,3.5
1980,2,3.3,3.5
1980,3,3.3,3.5
1980,4,3.3,3.5
1980,5,3.4,3.5
1980,6,3.4,3.5
1980,7,3.5,3.5
1980,8,3.5,3.5
1980,9,3.6,3.5
1980,10,3.7,3.5
1980,11,3.7,3.5
1980,12,3.7,3.5
1981,1,3.7,4
1981,2,3.8,4
1981,3,3.8,4
1981,4,3.8,4
1981,5,3.9,4
1981,6,3.9,4
1981,7,4,4
1981,8,4.1,4
1981,9,4.2,4
1981,10,4.2,4
1981,11,4.3,4
1981,12,4.3,4
1982,1,4.3,4.6
1982,2,4.3,4.6
1982,3,4.5,4.6
1982,4,4.5,4.6
1982,5,4.5,4.6
1982,6,4.5,4.6
1982,7,4.6,4.6
1982,8,4.6,4.6
1982,9,4.7,4.6
1982,10,4.8,4.6
1982,11,4.8,4.6
1982,12,4.8,4.6
1983,1,4.8,5.1
1983,2,5,5.1
1983,3,5,5.1
1983,4,5,5.1
1983,5,5.1,5.1
1983,6,5.1,5.1
1983,7,5.2,5.1
1983,8,5.2,5.1
1983,9,5.2,5.1
1983,10,5.3,5.1
1983,11,5.4,5.1
1983,12,5.4,5.1
1984,1,5.4,5.7
1984,2,5.4,5.7
1984,3,5.5,5.7
1984,4,5.6,5.7
1984,5,5.7,5.7
1984,6,5.7,5.7
1984,7,5.7,5.7
1984,8,5.8,5.7
1984,9,5.9,5.7
1984,10,5.9,5.7
1984,11,6,5.7
1984,12,6.1,5.7
1985,1,6.1,6.7
1985,2,6.3,6.7
1985,3,6.3,6.7
1985,4,6.5,6.7
1985,5,6.6,6.7
1985,6,6.7,6.7
1985,7,6.7,6.7
1985,8,6.8,6.7
1985,9,6.8,6.7
1985,10,6.9,6.7
1985,11,7,6.7
1985,12,7.2,6.7
1986,1,7.4,7.9
1986,2,7.4,7.9
1986,3,7.6,7.9
1986,4,7.7,7.9
1986,5,7.7,7.9
1986,6,7.8,7.9
1986,7,7.9,7.9
1986,8,8.1,7.9
1986,9,8.199999999999999,7.9
1986,10,8.300000000000001,7.9
1986,11,8.4,7.9
1986,12,8.5,7.9
1987,1,8.6,9.199999999999999
1987,2,8.699999999999999,9.199999999999999
1987,3,8.800000000000001,9.199999999999999
1987,4,9,9.199999999999999
1987,5,9,9.199999999999999
1987,6,9.1,9.199999999999999
1987,7,9.199999999999999,9.199999999999999
1987,8,9.300000000000001,9.199999999999999
1987,9,9.5,9.199999999999999
1987,10,9.6,9.199999999999999
1987,11,9.699999999999999,9.199999999999999
1987,12,9.699999999999999,9.199999999999999
1988,1,9.800000000000001,10.4
1988,2,9.800000000000001,10.4
1988,3,10,10.4
1988,4,10.1,10.4
1988,5,10.2,10.4
1988,6,10.3,10.4
1988,7,10.4,10.4
1988,8,10.5,10.4
1988,9,10.7,10.4
1988,10,10.8,10.4
1988,11,10.8,10.4
1988,12,11,10.4
1989,1,11.1,11.9
1989,2,11.2,11.9
1989,3,11.4,11.9
1989,4,11.6,11.9
1989,5,11.8,11.9
1989,6,11.8,11.9
1989,7,11.9,11.9
1989,8,12.1,11.9
1989,9,12.2,11.9
1989,10,12.3,11.9
1989,11,12.5,11.9
1989,12,12.7,11.9
1990,1,12.8,13.6
1990,2,12.9,13.6
1990,3,13.1,13.6
1990,4,13.2,13.6
1990,5,13.4,13.6
1990,6,13.4,13.6
1990,7,13.6,13.6
1990,8,13.8,13.6
1990,9,13.9,13.6
1990,10,14.1,13.6
1990,11,14.4,13.6
1990,12,14.5,13.6
1991,1,14.7,15.7
1991,2,14.9,15.7
1991,3,14.9,15.7
1991,4,15.2,15.7
1991,5,15.4,15.7
1991,6,15.5,15.7
1991,7,15.7,15.7
1991,8,15.9,15.7
1991,9,16.1,15.7
1991,10,16.4,15.7
1991,11,16.6,15.7
1991,12,16.8,15.7
1992,1,17,17.9
