year,month,rates_month,rates_year
1911,1,,5.2
1911,2,,5.2
1911,3,,5.2
1911,4,,5.2
1911,5,,5.2
1911,6,,5.2
1911,7,,5.2
1911,8,,5.2
1911,9,,5.2
1911,10,,5.2
1911,11,,5.2
1911,12,,5.2
1912,1,,3.4
1912,2,,3.4
1912,3,,3.4
1912,4,,3.4
1912,5,,3.4
1912,6,,3.4
1912,7,,3.4
1912,8,,3.4
1912,9,,3.4
1912,10,,3.4
1912,11,,3.4
1912,12,,3.4
1913,1,,1.1
1913,2,,1.1
1913,3,,1.1
1913,4,,1.1
1913,5,,1.1
1913,6,,1.1
1913,7,,1.1
1913,8,,1.1
1913,9,,1.1
1913,10,,1.1
1913,11,,1.1
1913,12,,1.1
1914,1,,-.7
1914,2,,-.7
1914,3,,-.7
1914,4,,-.7
1914,5,,-.7
1914,6,,-.7
1914,7,,-.7
1914,8,,-.7
1914,9,,-.7
1914,10,,-.7
1914,11,,-.7
1914,12,,-.7
1915,1,,5
1915,2,,5
1915,3,,5
1915,4,,5
1915,5,,5
1915,6,,5
1915,7,,5
1915,8,,5
1915,9,,5
1915,10,,5
1915,11,,5
1915,12,,5
1916,1,,6.2
1916,2,,6.2
1916,3,,6.2
1916,4,,6.2
1916,5,,6.2
1916,6,,6.2
1916,7,,6.2
1916,8,,6.2
1916,9,,6.2
1916,10,,6.2
1916,11,,6.2
1916,12,,6.2
1917,1,,9.699999999999999
1917,2,,9.699999999999999
1917,3,,9.699999999999999
1917,4,,9.699999999999999
1917,5,,9.699999999999999
1917,6,,9.699999999999999
1917,7,,9.699999999999999
1917,8,,9.699999999999999
1917,9,,9.699999999999999
1917,10,,9.699999999999999
1917,11,,9.699999999999999
1917,12,,9.699999999999999
1918,1,,6.8
1918,2,,6.8
1918,3,,6.8
1918,4,,6.8
1918,5,,6.8
1918,6,,6.8
1918,7,,6.8
1918,8,,6.8
1918,9,,6.8
1918,10,,6.8
1918,11,,6.8
1918,12,,6.8
1919,1,,10.6
1919,2,,10.6
1919,3,,10.6
1919,4,,10.6
1919,5,,10.6
1919,6,,10.6
1919,7,,10.6
1919,8,,10.6
1919,9,,10.6
1919,10,,10.6
1919,11,,10.6
1919,12,,10.6
1920,1,,23.9
1920,2,,23.9
1920,3,,23.9
1920,4,,23.9
1920,5,,23.9
1920,6,,23.9
1920,7,,23.9
1920,8,,23.9
1920,9,,23.9
1920,10,,23.9
1920,11,,23.9
1920,12,,23.9
1921,1,,-9.5
1921,2,,-9.5
1921,3,,-9.5
1921,4,,-9.5
1921,5,,-9.5
1921,6,,-9.5
1921,7,,-9.5
1921,8,,-9.5
1921,9,,-9.5
1921,10,,-9.5
1921,11,,-9.5
1921,12,,-9.5
1922,1,-23.7,-16.6
1922,2,-23,-16.6
1922,3,-21.8,-16.6
1922,4,-20.3,-16.6
1922,5,-19.6,-16.6
1922,6,-15.7,-16.6
1922,7,-15.1,-16.6
1922,8,-14.2,-16.6
1922,9,-12.8,-16.6
1922,10,-11.8,-16.6
1922,11,-10.9,-16.6
1922,12,-6,-16.6
1923,1,-5.3,-3
1923,2,-4.6,-3
1923,3,-4,-3
1923,4,-4.8,-3
1923,5,-4.2,-3
1923,6,-3.4,-3
1923,7,-3.3,-3
1923,8,-3.5,-3
1923,9,-1.6,-3
1923,10,-.7,-3
1923,11,-.2,-3
1923,12,.7,-3
1924,1,1.1,1.4
1924,2,1.9,1.4
1924,3,2.7,1.4
1924,4,2.7,1.4
1924,5,2.1,1.4
1924,6,1.5,1.4
1924,7,1.2,1.4
1924,8,1.5,1.4
1924,9,.8,1.4
1924,10,.3,1.4
1924,11,.2,1.4
1924,12,.5,1.4
1925,1,-.1,-.4
1925,2,-.7,-.4
1925,3,-.9,-.4
1925,4,-.1,-.4
1925,5,0,-.4
1925,6,.6,-.4
1925,7,.7,-.4
1925,8,.4,-.4
1925,9,0,-.4
1925,10,-.7,-.4
1925,11,-1.9,-.4
1925,12,-1.9,-.4
1926,1,-1.6,-1.5
1926,2,-1.3,-1.5
1926,3,-1.4,-1.5
1926,4,-2,-1.5
1926,5,-1.8,-1.5
1926,6,-2.2,-1.5
1926,7,-2.2,-1.5
1926,8,-1.9,-1.5
1926,9,-1.4,-1.5
1926,10,-.7,-1.5
1926,11,-.4,-1.5
1926,12,-1,-1.5
1927,1,-.5,.6
1927,2,-.5,.6
1927,3,-.4,.6
1927,4,-.1,.6
1927,5,.2,.6
1927,6,1.3,.6
1927,7,1.5,.6
1927,8,1.1,.6
1927,9,.6,.6
1927,10,.6,.6
1927,11,.7,.6
1927,12,2,.6
1928,1,1.4,0
1928,2,.8,0
1928,3,1,0
1928,4,.9,0
1928,5,.7,0
1928,6,-.5,0
1928,7,-.7,0
1928,8,-.5,0
1928,9,-.1,0
1928,10,-.7,0
1928,11,-.2,0
1928,12,-.7,0
1929,1,-.8,-.3
1929,2,-.4,-.3
1929,3,-.4,-.3
1929,4,-.1,-.3
1929,5,-.2,-.3
1929,6,.2,-.3
1929,7,.3,-.3
1929,8,0,-.3
1929,9,0,-.3
1929,10,-.3,-.3
1929,11,-1,-.3
1929,12,-1.2,-.3
1930,1,-1.2,-2.3
1930,2,-1.5,-2.3
1930,3,-2,-2.3
1930,4,-2.2,-2.3
1930,5,-2.2,-2.3
1930,6,-2,-2.3
1930,7,-2.3,-2.3
1930,8,-2.4,-2.3
